Model:	LI-7810
SN:	TG10-01100
Software Version:	2.0.25
Timestamp:	2021-05-06 11:53:37
Timezone:	Europe/Helsinki
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag	date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1620291217	10871887	14	256	2021-05-06	11:53:37	nan	nan	nan	56.2166	20.2994	56.0982	25.7605	0	0	20.3325	-16000	0	16.0066	213
DATA	1620291218	10832071	18	256	2021-05-06	11:53:38	nan	nan	nan	56.3215	20.2994	56.2085	34.9378	0	0	20.3328	-16000	0	15.9878	224
DATA	1620291219	10797977	22	256	2021-05-06	11:53:39	nan	nan	nan	56.4134	20.2994	56.2991	41.4766	0	0	20.3332	-16000	0	16.0011	213
DATA	1620291220	10754108	26	256	2021-05-06	11:53:40	nan	nan	nan	56.5048	20.2994	56.3901	43.1066	0	0	20.3332	-16000	0	16.0133	174
DATA	1620291221	10715007	30	256	2021-05-06	11:53:41	nan	nan	nan	56.5922	20.2994	56.4759	43.3117	0	0	20.3332	-16000	0	16.0164	182
DATA	1620291222	10683059	34	256	2021-05-06	11:53:42	nan	nan	nan	56.6751	20.2994	56.5604	43.3894	0	0	20.3332	-16000	0	16.018	152
DATA	1620291223	10683059	38	256	2021-05-06	11:53:43	nan	nan	nan	56.7531	20.2994	56.6355	43.4271	0	0	20.3332	-16000	0	16.016	147
DATA	1620291224	10683059	42	256	2021-05-06	11:53:44	nan	nan	nan	56.8355	20.2994	56.718	43.4545	0	0	20.3337	-16000	0	16.0164	159
DATA	1620291225	10683059	46	256	2021-05-06	11:53:45	nan	nan	nan	56.9164	20.2994	56.8008	43.473	0	0	20.3339	-16000	0	16.0164	162
DATA	1620291226	10683059	50	256	2021-05-06	11:53:46	nan	nan	nan	56.9956	20.2994	56.88	43.4859	0	0	20.3339	-16000	0	16.0164	132
DATA	1620291227	10683059	54	256	2021-05-06	11:53:47	nan	nan	nan	57.0764	20.2992	56.9596	43.4958	0	0	20.3339	-16000	0	16.016	182
